"Area","MTU","Biomass - Actual Aggregated [MW]","Fossil Brown coal/Lignite - Actual Aggregated [MW]","Fossil Coal-derived gas - Actual Aggregated [MW]","Fossil Gas - Actual Aggregated [MW]","Fossil Hard coal - Actual Aggregated [MW]","Fossil Oil - Actual Aggregated [MW]","Fossil Oil shale - Actual Aggregated [MW]","Fossil Peat - Actual Aggregated [MW]","Geothermal - Actual Aggregated [MW]","Hydro Pumped Storage - Actual Aggregated [MW]","Hydro Pumped Storage - Actual Consumption [MW]","Hydro Run-of-river and poundage - Actual Aggregated [MW]","Hydro Water Reservoir - Actual Aggregated [MW]","Marine - Actual Aggregated [MW]","Nuclear - Actual Aggregated [MW]","Other - Actual Aggregated [MW]","Other renewable - Actual Aggregated [MW]","Solar - Actual Aggregated [MW]","Waste - Actual Aggregated [MW]","Wind Offshore - Actual Aggregated [MW]","Wind Onshore - Actual Aggregated [MW]"
"CTA|ES","01.01.2025 00:00 - 01.01.2025 00:15 (CET/CEST)","388","0","0","8608","512","8","0","0","0","116","0","920","1748","0","7116","8","76","4","184","0","2856"
"CTA|ES","01.01.2025 00:15 - 01.01.2025 00:30 (CET/CEST)","388","0","0","8848","500","8","0","0","0","148","0","972","1860","0","7116","8","68","4","184","0","2904"
"CTA|ES","01.01.2025 00:30 - 01.01.2025 00:45 (CET/CEST)","380","0","0","8716","468","8","0","0","0","156","0","988","1820","0","7116","8","68","4","180","0","2972"
"CTA|ES","01.01.2025 00:45 - 01.01.2025 01:00 (CET/CEST)","372","0","0","8444","436","8","0","0","0","156","0","972","1748","0","7116","8","68","4","180","0","3064"
"CTA|ES","01.01.2025 01:00 - 01.01.2025 01:15 (CET/CEST)","368","0","0","8276","392","8","0","0","0","156","0","944","1644","0","7116","8","68","4","180","0","3096"
"CTA|ES","01.01.2025 01:15 - 01.01.2025 01:30 (CET/CEST)","368","0","0","8384","356","8","0","0","0","156","4","920","1528","0","7116","8","68","4","184","0","3152"
"CTA|ES","01.01.2025 01:30 - 01.01.2025 01:45 (CET/CEST)","372","0","0","8356","328","8","0","0","0","116","52","932","1432","0","7116","8","68","4","180","0","3264"
"CTA|ES","01.01.2025 01:45 - 01.01.2025 02:00 (CET/CEST)","372","0","0","8168","292","8","0","0","0","112","60","932","1440","0","7116","8","68","4","180","0","3376"
"CTA|ES","01.01.2025 02:00 - 01.01.2025 02:15 (CET/CEST)","372","0","0","7848","248","8","0","0","0","112","476","932","1408","0","7116","8","68","4","180","0","3408"
"CTA|ES","01.01.2025 02:15 - 01.01.2025 02:30 (CET/CEST)","368","0","0","7892","248","8","0","0","0","112","584","920","1396","0","7116","8","68","4","180","0","3396"
