Area,MTU,Biomass - Actual Aggregated [MW],Fossil Brown coal/Lignite - Actual Aggregated [MW],Fossil Coal-derived gas - Actual Aggregated [MW],Fossil Gas - Actual Aggregated [MW],Fossil Hard coal - Actual Aggregated [MW],Fossil Oil - Actual Aggregated [MW],Fossil Oil shale - Actual Aggregated [MW],Fossil Peat - Actual Aggregated [MW],Geothermal - Actual Aggregated [MW],Hydro Pumped Storage - Actual Aggregated [MW],Hydro Pumped Storage - Actual Consumption [MW],Hydro Run-of-river and poundage - Actual Aggregated [MW],Hydro Water Reservoir - Actual Aggregated [MW],Marine - Actual Aggregated [MW],Nuclear - Actual Aggregated [MW],Other - Actual Aggregated [MW],Other renewable - Actual Aggregated [MW],Solar - Actual Aggregated [MW],Waste - Actual Aggregated [MW],Wind Offshore - Actual Aggregated [MW],Wind Onshore - Actual Aggregated [MW]
BZN|ES,28.04.2025 00:00 - 28.04.2025 00:15 (CET/CEST),468,0,0,4488,168,8,0,0,0,1796,408,1556,4792,0,3384,8,68,728,164,0,6080
BZN|ES,28.04.2025 00:15 - 28.04.2025 00:30 (CET/CEST),460,0,0,4972,184,8,0,0,0,1612,548,1620,4808,0,3384,8,68,724,156,0,6456
BZN|ES,28.04.2025 00:30 - 28.04.2025 00:45 (CET/CEST),464,0,0,4824,184,8,0,0,0,1628,628,1600,4804,0,3384,8,72,744,164,0,6412
BZN|ES,28.04.2025 00:45 - 28.04.2025 01:00 (CET/CEST),460,0,0,4832,184,8,0,0,0,1636,668,1604,4772,0,3384,8,72,752,168,0,5908
BZN|ES,28.04.2025 01:00 - 28.04.2025 01:15 (CET/CEST),464,0,0,4808,184,8,0,0,0,1380,672,1608,4784,0,3384,8,68,752,168,0,5656
BZN|ES,28.04.2025 01:15 - 28.04.2025 01:30 (CET/CEST),468,0,0,5004,184,8,0,0,0,1476,672,1628,4984,0,3384,8,68,744,168,0,5420
BZN|ES,28.04.2025 01:30 - 28.04.2025 01:45 (CET/CEST),464,0,0,5016,184,8,0,0,0,1572,716,1616,4928,0,3384,8,64,740,164,0,5400
BZN|ES,28.04.2025 01:45 - 28.04.2025 02:00 (CET/CEST),464,0,0,4868,184,8,0,0,0,1452,880,1584,4696,0,3384,8,64,736,164,0,5508
BZN|ES,28.04.2025 02:00 - 28.04.2025 02:15 (CET/CEST),456,0,0,4768,184,8,0,0,0,1308,884,1552,4444,0,3384,8,64,736,164,0,5468
BZN|ES,28.04.2025 02:15 - 28.04.2025 02:30 (CET/CEST),464,0,0,4680,184,8,0,0,0,1432,924,1572,4136,0,3384,8,64,732,168,0,5372
BZN|ES,28.04.2025 02:30 - 28.04.2025 02:45 (CET/CEST),460,0,0,4544,184,8,0,0,0,1488,932,1592,4116,0,3384,8,68,732,168,0,4976
BZN|ES,28.04.2025 02:45 - 28.04.2025 03:00 (CET/CEST),464,0,0,4448,184,8,0,0,0,1488,932,1588,4124,0,3384,8,68,728,168,0,4892
BZN|ES,28.04.2025 03:00 - 28.04.2025 03:15 (CET/CEST),456,0,0,4428,184,8,0,0,0,1448,936,1556,4008,0,3388,8,68,728,168,0,5016
BZN|ES,28.04.2025 03:15 - 28.04.2025 03:30 (CET/CEST),448,0,0,4344,184,8,0,0,0,1420,936,1524,4120,0,3388,8,68,724,168,0,5036
BZN|ES,28.04.2025 03:30 - 28.04.2025 03:45 (CET/CEST),436,0,0,4396,184,8,0,0,0,1292,936,1500,4032,0,3388,8,64,720,168,0,5104
