AnalyzerL1PhaseVoltage,AnalyzerL2PhaseVoltage,AnalyzerL3PhaseVoltage,AnalyzerL1Frequency,time
27105.537,27184.551,27178.547,50.016,28-Apr-2025 11:00:00
27034.057,27113.322,27105.414,50.013,28-Apr-2025 11:00:02
27109.965,27187.533,27178.531,50.008,28-Apr-2025 11:00:04
26970.863,27047.195,27041.854,50.007,28-Apr-2025 11:00:06
26969.873,27047.975,27039.451,50.001,28-Apr-2025 11:00:08
26996.527,27077.854,27067.031,49.993,28-Apr-2025 11:00:10
26997.832,27084.635,27068.164,49.99,28-Apr-2025 11:00:12
27049.912,27129.559,27124.086,49.986,28-Apr-2025 11:00:14
26993.742,27072.828,27069.049,49.984,28-Apr-2025 11:00:16
27011.285,27097.811,27083.838,49.984,28-Apr-2025 11:00:18
26919.898,27008.854,26999.191,49.985,28-Apr-2025 11:00:20
27013.316,27101.697,27086.156,49.982,28-Apr-2025 11:00:22
26886.102,26966.549,26954.475,49.981,28-Apr-2025 11:00:24
26874.928,26961.508,26946.82,49.981,28-Apr-2025 11:00:26
26924.088,27000.428,26991.303,49.977,28-Apr-2025 11:00:28
26841.383,26926.039,26910.213,49.979,28-Apr-2025 11:00:30
26891.281,26972.184,26955.781,49.981,28-Apr-2025 11:00:32
26914.189,26990.158,26973.201,49.981,28-Apr-2025 11:00:34
26856.502,26934.23,26918.822,49.985,28-Apr-2025 11:00:36
26838.547,26918.469,26907.209,49.986,28-Apr-2025 11:00:38
26812.299,26896.752,26880.99,49.985,28-Apr-2025 11:00:40
26755.531,26841.998,26828.736,49.985,28-Apr-2025 11:00:42
26775.535,26870.621,26854.354,49.983,28-Apr-2025 11:00:44
26738.795,26837.066,26829.182,49.983,28-Apr-2025 11:00:46
26988.893,27083.482,27063.895,49.983,28-Apr-2025 11:00:48
26878.211,26966.66,26954.553,49.983,28-Apr-2025 11:00:50
26776.307,26862.066,26853.59,49.985,28-Apr-2025 11:00:52
26846.432,26933.365,26919.236,49.984,28-Apr-2025 11:00:54
26769.938,26855.475,26841.268,49.985,28-Apr-2025 11:00:56
26829.232,26911.047,26901.049,49.984,28-Apr-2025 11:00:58
26721.742,26799.373,26794.932,49.985,28-Apr-2025 11:01:00
26832.621,26911.678,26905.629,49.983,28-Apr-2025 11:01:02
26722.438,26799.91,26796.602,49.981,28-Apr-2025 11:01:04
26667.021,26748.623,26735.314,49.979,28-Apr-2025 11:01:06
26759.439,26833.01,26824.852,49.973,28-Apr-2025 11:01:08
26671.447,26750.205,26742.18,49.969,28-Apr-2025 11:01:10
26774.791,26853.361,26852.32,49.964,28-Apr-2025 11:01:12
26693.518,26774.895,26771.637,49.961,28-Apr-2025 11:01:14
26687.879,26770.619,26762.982,49.96,28-Apr-2025 11:01:16
26764.951,26851.057,26836.443,49.96,28-Apr-2025 11:01:18
26671.908,26761.814,26741.953,49.963,28-Apr-2025 11:01:20
26678.213,26774.375,26748.459,49.966,28-Apr-2025 11:01:22
26638.965,26733.59,26708.082,49.968,28-Apr-2025 11:01:24
26681.256,26768.549,26740.994,49.97,28-Apr-2025 11:01:26
26682.479,26747.613,26732.307,49.97,28-Apr-2025 11:01:28
NaN,NaN,NaN,NaN,28-Apr-2025 11:01:30
26676.195,26742.641,26713.09,49.97,28-Apr-2025 11:01:32
26820.861,26886.008,26861.402,49.969,28-Apr-2025 11:01:34
26813.697,26880.885,26858.488,49.97,28-Apr-2025 11:01:36
26811.953,26878.785,26864.047,49.97,28-Apr-2025 11:01:38
26864.191,26949.402,26923.301,49.97,28-Apr-2025 11:01:40
26901.797,26977.65,26957.273,49.972,28-Apr-2025 11:01:42
26879.967,26962.566,26940.078,49.976,28-Apr-2025 11:01:44
26910,26988.756,26967.572,49.977,28-Apr-2025 11:01:46
26847.498,26932.238,26908.588,49.978,28-Apr-2025 11:01:48
26901.895,26986.436,26966.031,49.979,28-Apr-2025 11:01:50
26856.072,26932.547,26921.01,49.979,28-Apr-2025 11:01:52
26867.734,26949.574,26928.354,49.978,28-Apr-2025 11:01:54
26929.066,27012.779,26985.879,49.977,28-Apr-2025 11:01:56
26860.42,26948.514,26924.463,49.978,28-Apr-2025 11:01:58
26938.146,27020.912,26997.486,49.977,28-Apr-2025 11:02:00
26903.791,26986.322,26962.459,49.976,28-Apr-2025 11:02:02
26910.713,26995.318,26974.795,49.975,28-Apr-2025 11:02:04
26911.424,26994.43,26967.324,49.972,28-Apr-2025 11:02:06
26933.266,27022.51,26993.865,49.97,28-Apr-2025 11:02:08
26934.871,27027.346,26996.227,49.97,28-Apr-2025 11:02:10
26903.699,26995.939,26966.611,49.97,28-Apr-2025 11:02:12
26843.328,26931.406,26906.412,49.97,28-Apr-2025 11:02:14
26791.555,26881.852,26861.98,49.971,28-Apr-2025 11:02:16
26845.881,26939.676,26926.322,49.969,28-Apr-2025 11:02:18
